experiment,graph_id,graph_type,model,repetition,attack_id,attack_type,strategy,fraction_removed,nodes_removed,gcc_fractiondfg,gcc_size,avg_path_length_gcc,diameter_gcc,global_efficiency,global_clustering,avg_local_clustering,mean_degree,max_degree,degree_std
pypsa_eur,PyPSA_EUR,real,real_graphml,0,random_failures,random,,0.0,0,nan,1022,20.566736498310433,50,0.06703092886976117,0.08746962860118014,0.08276022737862268,2.4461839530332683,10,1.4492524955668968
pypsa_eur,PyPSA_EUR,real,real_graphml,0,random_failures,random,,0.05,51,nan,888,30.929205135236703,93,0.04644209755110671,0.09027205276174774,0.07846272048125807,2.294541709577755,10,1.4235625923132198
pypsa_eur,PyPSA_EUR,real,real_graphml,0,random_failures,random,,0.1,102,nan,617,27.286871961102108,81,0.03202352007136664,0.08815028901734104,0.0739811939268461,2.1826086956521737,9,1.3899177873444744
pypsa_eur,PyPSA_EUR,real,real_graphml,0,random_failures,random,,0.2,204,nan,114,10.322775966464835,26,0.01148877696344122,0.10402219140083217,0.07282861799976714,1.9315403422982884,9,1.3139119529141368
pypsa_eur,PyPSA_EUR,real,real_graphml,0,random_failures,random,,0.3,307,nan,52,7.863499245852187,21,0.006933530773095817,0.09623893805309734,0.047399267399267406,1.641958041958042,8,1.2143323923369103
pypsa_eur,PyPSA_EUR,real,real_graphml,0,random_failures,random,,0.4,409,nan,33,5.806818181818182,16,0.005181326589820635,0.10771992818671454,0.03633962557290453,1.3996737357259381,7,1.1215521279772156
pypsa_eur,PyPSA_EUR,real,real_graphml,0,random_failures,random,,0.5,511,nan,29,5.83743842364532,16,0.004647217925392227,0.09868421052631579,0.02289628180039139,1.1937377690802349,5,0.9790565777864731
pypsa_eur,PyPSA_EUR,real,real_graphml,0,degree_targeted,targeted,degree,0.0,0,nan,1022,20.566736498310433,50,0.06703092886976117,0.08746962860118014,0.08276022737862268,2.4461839530332683,10,1.4492524955668968
pypsa_eur,PyPSA_EUR,real,real_graphml,0,degree_targeted,targeted,degree,0.05,51,nan,225,16.100357142857142,41,0.011053911830233203,0.07063711911357341,0.04576038448335049,1.9073120494335736,5,1.1152247049738258
pypsa_eur,PyPSA_EUR,real,real_graphml,0,degree_targeted,targeted,degree,0.1,102,nan,79,12.679000324569945,34,0.004694576998717367,0.028846153846153848,0.01431159420289855,1.5478260869565217,4,0.9801816891103896
pypsa_eur,PyPSA_EUR,real,real_graphml,0,degree_targeted,targeted,degree,0.2,204,nan,18,5.1568627450980395,13,0.0021412650737391153,0.01929260450160772,0.004889975550122249,1.0488997555012225,3,0.8420809084967477
pypsa_eur,PyPSA_EUR,real,real_graphml,0,degree_targeted,targeted,degree,0.3,307,nan,9,3.0555555555555554,7,0.0014330487439731148,0,0.0,0.73006993006993,3,0.7635979395543203
pypsa_eur,PyPSA_EUR,real,real_graphml,0,degree_targeted,targeted,degree,0.4,409,nan,5,2.0,4,0.000760128231100307,0,0.0,0.4176182707993475,2,0.5727494757309062
pypsa_eur,PyPSA_EUR,real,real_graphml,0,degree_targeted,targeted,degree,0.5,511,nan,4,1.6666666666666667,3,0.0005538288374710614,0,0.0,0.2622309197651663,2,0.47821638764053276
pypsa_eur,PyPSA_EUR,real,real_graphml,0,betweenness_targeted,targeted,betweenness,0.0,0,nan,1022,20.566736498310433,50,0.06703092886976117,0.08746962860118014,0.08276022737862268,2.4461839530332683,10,1.4492524955668968
pypsa_eur,PyPSA_EUR,real,real_graphml,0,betweenness_targeted,targeted,betweenness,0.05,51,nan,368,24.908289894562255,67,0.0196169160744899,0.09392523364485982,0.07278701387867195,2.191555097837281,8,1.3403239658653359
pypsa_eur,PyPSA_EUR,real,real_graphml,0,betweenness_targeted,targeted,betweenness,0.1,102,nan,104,9.559746079163554,26,0.011206114857589123,0.09836065573770492,0.07155020703933747,2.05,8,1.3012118097808072
pypsa_eur,PyPSA_EUR,real,real_graphml,0,betweenness_targeted,targeted,betweenness,0.2,204,nan,71,8.740442655935613,21,0.006901926981013304,0.1134453781512605,0.067993945744557,1.7628361858190709,7,1.2509117555242173
pypsa_eur,PyPSA_EUR,real,real_graphml,0,betweenness_targeted,targeted,betweenness,0.3,307,nan,24,5.061594202898551,13,0.004200573399903457,0.09208400646203554,0.03804195804195804,1.4097902097902097,6,1.0741276952199015
pypsa_eur,PyPSA_EUR,real,real_graphml,0,betweenness_targeted,targeted,betweenness,0.4,409,nan,12,2.727272727272727,6,0.00259217879647782,0.036885245901639344,0.011419249592169658,0.9853181076672104,5,0.9003061496410951
pypsa_eur,PyPSA_EUR,real,real_graphml,0,betweenness_targeted,targeted,betweenness,0.5,511,nan,6,2.1333333333333333,4,0.001349398206771293,0,0.0,0.5636007827788649,3,0.6675054688895293
