experiment,graph_id,graph_type,model,repetition,attack_id,attack_type,strategy,fraction_removed,nodes_removed,gcc_fraction,gcc_size,avg_path_length_gcc,diameter_gcc,global_efficiency,global_clustering,avg_local_clustering,mean_degree,max_degree,degree_std
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.0,0,1.0,300,3.507380156075808,6,0.3195165366034352,0.48052805280528055,0.487963554963555,10.0,13,0.9486832980505138
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.02,6,0.98,294,3.5211859487822434,6,0.31856933899835876,0.47691708836123003,0.48337573235532416,9.80952380952381,13,0.9816918156232524
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.04,12,0.96,288,3.5265195509097946,6,0.3182434830300392,0.4712041884816754,0.47951633628716966,9.597222222222221,13,1.026181192336993
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.06,18,0.94,282,3.5572297518992455,6,0.31630196108123904,0.47237202723012994,0.48163672418991565,9.404255319148936,13,1.0881614620249358
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.08,24,0.92,276,3.6244005270092226,7,0.31185921325054616,0.4764070494599204,0.4839541296063036,9.181159420289855,13,1.16864536497516
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.1,30,0.9,270,3.648795263665152,7,0.31036505969596073,0.47673716012084594,0.48435165657387874,9.0,13,1.247219128924647
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.12,36,0.88,264,3.699216499596728,7,0.3073012855332954,0.48040060305836746,0.4896682652364471,8.803030303030303,13,1.2877005224217946
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.14,42,0.86,258,3.7462673061261422,7,0.3044770063185583,0.4843141744904969,0.49538123375332677,8.635658914728682,13,1.329090057063429
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.16,48,0.84,252,3.8005754758742807,7,0.3009266034878946,0.48413587159387833,0.49560686227352896,8.396825396825397,12,1.2945512495717193
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.18,54,0.82,246,3.870084619213539,7,0.2968361421224774,0.48672685621883843,0.4989711282394209,8.170731707317072,12,1.3203061795257314
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.2,60,0.8,240,3.9162831241283125,7,0.29416027429115243,0.4804928131416838,0.49304773929773926,7.933333333333334,12,1.3461880337539116
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.22,66,0.78,234,3.9601995524742306,7,0.29195527886525485,0.4793960364894621,0.49406457739791076,7.752136752136752,12,1.4136452419853227
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.24,72,0.76,228,3.981992425998918,8,0.29082581637656774,0.47730749617542073,0.49089042049568365,7.552631578947368,12,1.4545277479405767
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.26,78,0.74,222,4.0316334433981496,8,0.2882961500609314,0.4802619610696744,0.4933173433173433,7.387387387387387,12,1.5285344283265787
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.28,84,0.72,216,4.04823428079242,8,0.28773819777702236,0.4800693240901213,0.48759452995564107,7.2592592592592595,12,1.626575420769447
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.3,90,0.7,210,4.070585554796081,8,0.28658724733917934,0.47684605757196497,0.48460214388785816,7.066666666666666,12,1.6691410204149157
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.32,96,0.68,204,4.104607360185454,8,0.28466179575281975,0.4797281993204983,0.4919955861132332,6.892156862745098,11,1.6354339997538703
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.34,102,0.66,198,4.184997179921038,8,0.2806563337020322,0.47982173805397377,0.4919148191875464,6.686868686868687,11,1.664522649117016
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.36,108,0.64,192,4.227476003490401,8,0.2786994618964536,0.4791836734693877,0.4912777326839827,6.5,11,1.590990257669732
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.38,114,0.62,186,4.24888113920372,8,0.2777667067989556,0.471312706518474,0.4933905103259942,6.301075268817204,10,1.5470050582491914
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.4,120,0.6,180,4.267535692116698,8,0.277360926369284,0.4690522243713733,0.48111552028218696,6.166666666666667,10,1.6141733350404335
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.42,126,0.58,174,4.345757756959671,8,0.2736490377161754,0.4757006030507272,0.49421182266009855,5.977011494252873,10,1.62930781081925
