graph_label,strategy,repeat,auc,f_crit_lcc<=0.5
"ER(n=120, p=0.01)",random,0,0.09128472222222223,0.0
"ER(n=120, p=0.01)",degree,0,0.035034722222222224,0.0
"ER(n=120, p=0.01)",betweenness,0,0.03086805555555556,0.0
"WS(n=120, k=2, p=0.1)",random,0,0.11413194444444445,0.05833333333333334
"WS(n=120, k=2, p=0.1)",degree,0,0.10517361111111112,0.03354166666666667
"WS(n=120, k=2, p=0.1)",betweenness,0,0.05673611111111111,0.019590643274853804
"BA(n=120, m=3)",random,0,0.46499999999999997,0.47857142857142854
"BA(n=120, m=3)",degree,0,0.21760416666666668,0.225
"BA(n=120, m=3)",betweenness,0,0.19677083333333337,0.18333333333333335
