graph,graph_label,strategy,repeat,fraction_removed,removed_count,lcc_frac,avg_path_length,global_efficiency
WS,"WS(n=120, k=2, p=0.1)",degree,0,0.4,48,0.10833333333333334,4.666666666666667,0.013044498754592663
WS,"WS(n=120, k=2, p=0.1)",degree,0,0.5,60,0.008333333333333333,,0.0
WS,"WS(n=120, k=2, p=0.1)",degree,0,0.6,72,0.008333333333333333,,0.0
WS,"WS(n=120, k=2, p=0.1)",degree,0,0.7,84,0.008333333333333333,,0.0
WS,"WS(n=120, k=2, p=0.1)",degree,0,0.8,96,0.008333333333333333,,0.0
WS,"WS(n=120, k=2, p=0.1)",degree,0,0.9,108,0.008333333333333333,,0.0
WS,"WS(n=120, k=2, p=0.1)",degree,0,1.0,120,0.0,,0.0
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.0,0,1.0,30.536834733893556,0.08290234116302649
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.008333333333333333,1,0.5583333333333333,18.981456354590684,0.06466967620037711
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.1,12,0.08333333333333333,3.6666666666666665,0.029960798211057793
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.2,24,0.041666666666666664,2.0,0.01959064327485381
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.3,36,0.025,1.3333333333333333,0.012908777969018933
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.4,48,0.016666666666666666,1.0,0.009389671361502348
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.5,60,0.016666666666666666,1.0,0.011864406779661017
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.6,72,0.016666666666666666,1.0,0.014184397163120567
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.7,84,0.016666666666666666,1.0,0.020634920634920634
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.8,96,0.016666666666666666,1.0,0.028985507246376812
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,0.9,108,0.016666666666666666,1.0,0.07575757575757576
WS,"WS(n=120, k=2, p=0.1)",betweenness,0,1.0,120,0.0,,0.0
BA,"BA(n=120, m=3)",random,0,0.0,0,1.0,2.653361344537815,0.4139169000933371
BA,"BA(n=120, m=3)",random,0,0.008333333333333333,1,0.9916666666666667,2.6537530266343827,0.4140602003512968
BA,"BA(n=120, m=3)",random,0,0.1,12,0.9,2.6483212184146763,0.41633206415138413
BA,"BA(n=120, m=3)",random,0,0.2,24,0.8,2.668640350877193,0.41534722222225656
BA,"BA(n=120, m=3)",random,0,0.3,36,0.7,2.8663224325874928,0.3928380187416381
BA,"BA(n=120, m=3)",random,0,0.4,48,0.5916666666666667,2.89215291750503,0.38202921231089
BA,"BA(n=120, m=3)",random,0,0.5,60,0.475,3.081453634085213,0.3379096045197779
BA,"BA(n=120, m=3)",random,0,0.6,72,0.38333333333333336,3.1497584541062804,0.34087723741979464
BA,"BA(n=120, m=3)",random,0,0.7,84,0.225,4.905982905982906,0.16565261458118563
BA,"BA(n=120, m=3)",random,0,0.8,96,0.058333333333333334,1.9047619047619047,0.06944444444444443
BA,"BA(n=120, m=3)",random,0,0.9,108,0.016666666666666666,1.0,0.015151515151515152
BA,"BA(n=120, m=3)",random,0,1.0,120,0.0,,0.0
BA,"BA(n=120, m=3)",degree,0,0.0,0,1.0,2.653361344537815,0.4139169000933371
BA,"BA(n=120, m=3)",degree,0,0.008333333333333333,1,0.9916666666666667,2.807149978635522,0.39388501163175016
BA,"BA(n=120, m=3)",degree,0,0.1,12,0.875,4.202747252747253,0.2641629168108815
BA,"BA(n=120, m=3)",degree,0,0.2,24,0.6416666666666667,7.775461380724539,0.11795921998466517
BA,"BA(n=120, m=3)",degree,0,0.3,36,0.075,3.3333333333333335,0.020800549135316766
BA,"BA(n=120, m=3)",degree,0,0.4,48,0.03333333333333333,1.6666666666666667,0.008672404799165362
BA,"BA(n=120, m=3)",degree,0,0.5,60,0.016666666666666666,1.0,0.0022598870056497176
BA,"BA(n=120, m=3)",degree,0,0.6,72,0.008333333333333333,,0.0
BA,"BA(n=120, m=3)",degree,0,0.7,84,0.008333333333333333,,0.0
BA,"BA(n=120, m=3)",degree,0,0.8,96,0.008333333333333333,,0.0
BA,"BA(n=120, m=3)",degree,0,0.9,108,0.008333333333333333,,0.0
BA,"BA(n=120, m=3)",degree,0,1.0,120,0.0,,0.0
BA,"BA(n=120, m=3)",betweenness,0,0.0,0,1.0,2.653361344537815,0.4139169000933371
BA,"BA(n=120, m=3)",betweenness,0,0.008333333333333333,1,0.9916666666666667,2.807149978635522,0.39388501163175016
BA,"BA(n=120, m=3)",betweenness,0,0.1,12,0.875,4.228754578754579,0.26481117484491395
BA,"BA(n=120, m=3)",betweenness,0,0.2,24,0.425,6.2,0.09207914526993476
BA,"BA(n=120, m=3)",betweenness,0,0.3,36,0.058333333333333334,2.6666666666666665,0.019893861158921396
BA,"BA(n=120, m=3)",betweenness,0,0.4,48,0.025,1.3333333333333333,0.008020344287949921
BA,"BA(n=120, m=3)",betweenness,0,0.5,60,0.016666666666666666,1.0,0.005649717514124294
BA,"BA(n=120, m=3)",betweenness,0,0.6,72,0.016666666666666666,1.0,0.0062056737588652485
BA,"BA(n=120, m=3)",betweenness,0,0.7,84,0.016666666666666666,1.0,0.0031746031746031746
BA,"BA(n=120, m=3)",betweenness,0,0.8,96,0.016666666666666666,1.0,0.0036231884057971015
BA,"BA(n=120, m=3)",betweenness,0,0.9,108,0.016666666666666666,1.0,0.015151515151515152
BA,"BA(n=120, m=3)",betweenness,0,1.0,120,0.0,,0.0
